Error,TK_ASSIGNOP,TK_COMMENT,TK_FIELDID,TK_ID,TK_NUM,TK_RNUM,TK_FUNID,TK_RUID,TK_WITH,TK_PARAMETERS,TK_END,TK_WHILE,TK_UNION,TK_ENDUNION,TK_DEFINETYPE,TK_AS,TK_TYPE,TK_MAIN,TK_GLOBAL,TK_PARAMETER,TK_LIST,TK_SQL,TK_SQR,TK_INPUT,TK_OUTPUT,TK_INT,TK_REAL,TK_COMMA,TK_SEM,TK_COLON,TK_DOT,TK_ENDWHILE,TK_OP,TK_CL,TK_IF,TK_THEN,TK_ENDIF,TK_READ,TK_WRITE,TK_RETURN,TK_PLUS,TK_MINUS,TK_MUL,TK_DIV,TK_CALL,TK_RECORD,TK_ENDRECORD,TK_ELSE,TK_AND,TK_OR,TK_NOT,TK_LT,TK_LE,TK_EQ,TK_GT,TK_GE,TK_NE,eps
remaining_list,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,eps,Error,Error,Error,Error,TK_COMMA,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,eps
stmts,Error,Error,Error,typeDefinitions,Error,Error,Error,Error,Error,Error,syn,typeDefinitions,typeDefinitions,Error,typeDefinitions,Error,typeDefinitions,Error,Error,Error,Error,typeDefinitions,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,typeDefinitions,Error,Error,typeDefinitions,typeDefinitions,typeDefinitions,Error,Error,Error,Error,typeDefinitions,typeDefinitions,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error
typeDefinitions,Error,Error,Error,eps,Error,Error,Error,Error,Error,Error,Error,eps,actualOrRedefined,Error,actualOrRedefined,Error,eps,Error,Error,Error,Error,eps,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,eps,Error,Error,eps,eps,eps,Error,Error,Error,Error,eps,actualOrRedefined,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,eps
actualOrRedefined,Error,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,syn,typeDefinition,Error,definetypestmt,Error,syn,Error,Error,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn,Error,Error,syn,syn,syn,Error,Error,Error,Error,syn,typeDefinition,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn
typeDefinition,Error,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,syn,TK_UNION,Error,syn,Error,syn,Error,Error,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn,Error,Error,syn,syn,syn,Error,Error,Error,Error,syn,TK_RECORD,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn
fieldDefinitions,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn,Error,Error,fieldDefinition,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error
fieldDefinition,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn,Error,Error,TK_TYPE,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn
fieldType,Error,Error,Error,Error,Error,Error,Error,TK_RUID,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,primitiveDatatype,primitiveDatatype,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error
moreFields,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,eps,Error,Error,fieldDefinition,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,eps,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,eps
declarations,Error,Error,Error,eps,Error,Error,Error,Error,Error,Error,Error,eps,Error,Error,Error,Error,declaration,Error,Error,Error,Error,eps,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,eps,Error,Error,eps,eps,eps,Error,Error,Error,Error,eps,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,eps
