	Lexeme		Line Number		Token Name		ValueIfNumber		ParentNodeSymbol		isLeafNode		NodeSymbol
	---		-2		---		(null)		arithmeticExpression		No		expPrime
	;		36		TK_SEM		(null)		assignmentStmt		Yes		TK_SEM
	---		-2		---		(null)		otherStmts		No		stmt
	---		-2		---		(null)		stmts		No		otherStmts
	read		37		TK_READ		(null)		ioStmt		Yes		TK_READ
	---		-2		---		(null)		stmt		No		ioStmt
	(		37		TK_OP		(null)		ioStmt		Yes		TK_OP
	d5cb34567		37		TK_ID		(null)		singleOrRecId		Yes		TK_ID
	---		-2		---		(null)		var		No		singleOrRecId
	(null)		37		eps		(null)		option_single_constructed		Yes		eps
	---		-2		---		(null)		singleOrRecId		No		option_single_constructed
	---		-2		---		(null)		ioStmt		No		var
	)		37		TK_CL		(null)		ioStmt		Yes		TK_CL
	;		37		TK_SEM		(null)		ioStmt		Yes		TK_SEM
	---		-2		---		(null)		otherStmts		No		stmt
	---		-2		---		(null)		otherStmts		No		otherStmts
	b5c6		38		TK_ID		(null)		singleOrRecId		Yes		TK_ID
	---		-2		---		(null)		assignmentStmt		No		singleOrRecId
	.		38		TK_DOT		(null)		oneExpansion		Yes		TK_DOT
	---		-2		---		(null)		option_single_constructed		No		oneExpansion
	maths		38		TK_FIELDID		(null)		oneExpansion		Yes		TK_FIELDID
	---		-2		---		(null)		singleOrRecId		No		option_single_constructed
	(null)		38		eps		(null)		moreExpansions		Yes		eps
	---		-2		---		(null)		option_single_constructed		No		moreExpansions
	---		-2		---		(null)		stmt		No		assignmentStmt
	<---		38		TK_ASSIGNOP		(null)		assignmentStmt		Yes		TK_ASSIGNOP
	0.00		38		TK_RNUM		0.00		var		Yes		TK_RNUM
	---		-2		---		(null)		factor		No		var
	---		-2		---		(null)		term		No		factor
	---		-2		---		(null)		arithmeticExpression		No		term
	(null)		38		eps		(null)		termPrime		Yes		eps
	---		-2		---		(null)		term		No		termPrime
	---		-2		---		(null)		assignmentStmt		No		arithmeticExpression
	(null)		38		eps		(null)		expPrime		Yes		eps
	---		-2		---		(null)		arithmeticExpression		No		expPrime
	;		38		TK_SEM		(null)		assignmentStmt		Yes		TK_SEM
	---		-2		---		(null)		otherStmts		No		stmt
	---		-2		---		(null)		otherStmts		No		otherStmts
	b5c6		39		TK_ID		(null)		singleOrRecId		Yes		TK_ID
	---		-2		---		(null)		assignmentStmt		No		singleOrRecId
	.		39		TK_DOT		(null)		oneExpansion		Yes		TK_DOT
	---		-2		---		(null)		option_single_constructed		No		oneExpansion
	physics		39		TK_FIELDID		(null)		oneExpansion		Yes		TK_FIELDID
	---		-2		---		(null)		singleOrRecId		No		option_single_constructed
	(null)		39		eps		(null)		moreExpansions		Yes		eps
	---		-2		---		(null)		option_single_constructed		No		moreExpansions
	---		-2		---		(null)		stmt		No		assignmentStmt
	<---		39		TK_ASSIGNOP		(null)		assignmentStmt		Yes		TK_ASSIGNOP
	0.00		39		TK_RNUM		0.00		var		Yes		TK_RNUM
	---		-2		---		(null)		factor		No		var
	---		-2		---		(null)		term		No		factor
	---		-2		---		(null)		arithmeticExpression		No		term
	(null)		39		eps		(null)		termPrime		Yes		eps
	---		-2		---		(null)		term		No		termPrime
	---		-2		---		(null)		assignmentStmt		No		arithmeticExpression
	(null)		39		eps		(null)		expPrime		Yes		eps
	---		-2		---		(null)		arithmeticExpression		No		expPrime
	;		39		TK_SEM		(null)		assignmentStmt		Yes		TK_SEM
	---		-2		---		(null)		otherStmts		No		stmt
	---		-2		---		(null)		otherStmts		No		otherStmts
	b5c6		40		TK_ID		(null)		singleOrRecId		Yes		TK_ID
	---		-2		---		(null)		assignmentStmt		No		singleOrRecId
	.		40		TK_DOT		(null)		oneExpansion		Yes		TK_DOT
	---		-2		---		(null)		option_single_constructed		No		oneExpansion
	chemistry		40		TK_FIELDID		(null)		oneExpansion		Yes		TK_FIELDID
	---		-2		---		(null)		singleOrRecId		No		option_single_constructed
	(null)		40		eps		(null)		moreExpansions		Yes		eps
	---		-2		---		(null)		option_single_constructed		No		moreExpansions
	---		-2		---		(null)		stmt		No		assignmentStmt
	<---		40		TK_ASSIGNOP		(null)		assignmentStmt		Yes		TK_ASSIGNOP
	0.00		40		TK_RNUM		0.00		var		Yes		TK_RNUM
	---		-2		---		(null)		factor		No		var
	---		-2		---		(null)		term		No		factor
	---		-2		---		(null)		arithmeticExpression		No		term
	(null)		40		eps		(null)		termPrime		Yes		eps
	---		-2		---		(null)		term		No		termPrime
	---		-2		---		(null)		assignmentStmt		No		arithmeticExpression
	(null)		40		eps		(null)		expPrime		Yes		eps
	---		-2		---		(null)		arithmeticExpression		No		expPrime
	;		40		TK_SEM		(null)		assignmentStmt		Yes		TK_SEM
	---		-2		---		(null)		otherStmts		No		stmt
	---		-2		---		(null)		otherStmts		No		otherStmts
	while		41		TK_WHILE		(null)		iterativeStmt		Yes		TK_WHILE
	---		-2		---		(null)		stmt		No		iterativeStmt
	(		41		TK_OP		(null)		iterativeStmt		Yes		TK_OP
	b5		41		TK_ID		(null)		singleOrRecId		Yes		TK_ID
	---		-2		---		(null)		var		No		singleOrRecId
	(null)		41		eps		(null)		option_single_constructed		Yes		eps
	---		-2		---		(null)		singleOrRecId		No		option_single_constructed
	---		-2		---		(null)		booleanExpression		No		var
	---		-2		---		(null)		iterativeStmt		No		booleanExpression
	<=		41		TK_LE		(null)		relationalOp		Yes		TK_LE
	---		-2		---		(null)		booleanExpression		No		relationalOp
	d5cb34567		41		TK_ID		(null)		singleOrRecId		Yes		TK_ID
	---		-2		---		(null)		var		No		singleOrRecId
	(null)		41		eps		(null)		option_single_constructed		Yes		eps
	---		-2		---		(null)		singleOrRecId		No		option_single_constructed
	---		-2		---		(null)		booleanExpression		No		var
	)		41		TK_CL		(null)		iterativeStmt		Yes		TK_CL
	[		42		TK_SQL		(null)		outputParameters		Yes		TK_SQL
	---		-2		---		(null)		funCallStmt		No		outputParameters
	d4		42		TK_ID		(null)		idList		Yes		TK_ID
	---		-2		---		(null)		outputParameters		No		idList
	(null)		42		eps		(null)		more_ids		Yes		eps
	---		-2		---		(null)		idList		No		more_ids
	]		42		TK_SQR		(null)		outputParameters		Yes		TK_SQR
	<---		42		TK_ASSIGNOP		(null)		outputParameters		Yes		TK_ASSIGNOP
	---		-2		---		(null)		stmt		No		funCallStmt
	call		42		TK_CALL		(null)		funCallStmt		Yes		TK_CALL
	_readMarks		42		TK_FUNID		(null)		funCallStmt		Yes		TK_FUNID
	with		42		TK_WITH		(null)		funCallStmt		Yes		TK_WITH
	parameters		42		TK_PARAMETERS		(null)		funCallStmt		Yes		TK_PARAMETERS
	[		42		TK_SQL		(null)		inputParameters		Yes		TK_SQL
	---		-2		---		(null)		funCallStmt		No		inputParameters
	b5		42		TK_ID		(null)		idList		Yes		TK_ID
	---		-2		---		(null)		inputParameters		No		idList
	(null)		42		eps		(null)		more_ids		Yes		eps
	---		-2		---		(null)		idList		No		more_ids
	]		42		TK_SQR		(null)		inputParameters		Yes		TK_SQR
	;		42		TK_SEM		(null)		funCallStmt		Yes		TK_SEM
	---		-2		---		(null)		iterativeStmt		No		stmt
	b5c6		43		TK_ID		(null)		singleOrRecId		Yes		TK_ID
	---		-2		---		(null)		assignmentStmt		No		singleOrRecId
	(null)		43		eps		(null)		option_single_constructed		Yes		eps
	---		-2		---		(null)		singleOrRecId		No		option_single_constructed
	---		-2		---		(null)		stmt		No		assignmentStmt
	<---		43		TK_ASSIGNOP		(null)		assignmentStmt		Yes		TK_ASSIGNOP
	b5c6		43		TK_ID		(null)		singleOrRecId		Yes		TK_ID
	---		-2		---		(null)		var		No		singleOrRecId
	(null)		43		eps		(null)		option_single_constructed		Yes		eps
	---		-2		---		(null)		singleOrRecId		No		option_single_constructed
	---		-2		---		(null)		factor		No		var
	---		-2		---		(null)		term		No		factor
	---		-2		---		(null)		arithmeticExpression		No		term
	(null)		43		eps		(null)		termPrime		Yes		eps
	---		-2		---		(null)		term		No		termPrime
	---		-2		---		(null)		assignmentStmt		No		arithmeticExpression
	+		43		TK_PLUS		(null)		lowPrecedenceOperators		Yes		TK_PLUS
	---		-2		---		(null)		expPrime		No		lowPrecedenceOperators
	---		-2		---		(null)		arithmeticExpression		No		expPrime
	d4		43		TK_ID		(null)		singleOrRecId		Yes		TK_ID
	---		-2		---		(null)		var		No		singleOrRecId
	(null)		43		eps		(null)		option_single_constructed		Yes		eps
	---		-2		---		(null)		singleOrRecId		No		option_single_constructed
	---		-2		---		(null)		factor		No		var
	---		-2		---		(null)		term		No		factor
	---		-2		---		(null)		expPrime		No		term
	(null)		43		eps		(null)		termPrime		Yes		eps
	---		-2		---		(null)		term		No		termPrime
	(null)		43		eps		(null)		expPrime		Yes		eps
	---		-2		---		(null)		expPrime		No		expPrime
	;		43		TK_SEM		(null)		assignmentStmt		Yes		TK_SEM
	---		-2		---		(null)		otherStmts		No		stmt
	---		-2		---		(null)		iterativeStmt		No		otherStmts
	b5		45		TK_ID		(null)		singleOrRecId		Yes		TK_ID
	---		-2		---		(null)		assignmentStmt		No		singleOrRecId
	(null)		45		eps		(null)		option_single_constructed		Yes		eps
	---		-2		---		(null)		singleOrRecId		No		option_single_constructed
	---		-2		---		(null)		stmt		No		assignmentStmt
	<---		45		TK_ASSIGNOP		(null)		assignmentStmt		Yes		TK_ASSIGNOP
	b5		45		TK_ID		(null)		singleOrRecId		Yes		TK_ID
	---		-2		---		(null)		var		No		singleOrRecId
	(null)		45		eps		(null)		option_single_constructed		Yes		eps
	---		-2		---		(null)		singleOrRecId		No		option_single_constructed
	---		-2		---		(null)		factor		No		var
	---		-2		---		(null)		term		No		factor
	---		-2		---		(null)		arithmeticExpression		No		term
	(null)		45		eps		(null)		termPrime		Yes		eps
	---		-2		---		(null)		term		No		termPrime
	---		-2		---		(null)		assignmentStmt		No		arithmeticExpression
	+		45		TK_PLUS		(null)		lowPrecedenceOperators		Yes		TK_PLUS
	---		-2		---		(null)		expPrime		No		lowPrecedenceOperators
	---		-2		---		(null)		arithmeticExpression		No		expPrime
	1		45		TK_NUM		1		var		Yes		TK_NUM
	---		-2		---		(null)		factor		No		var
	---		-2		---		(null)		term		No		factor
	---		-2		---		(null)		expPrime		No		term
	(null)		45		eps		(null)		termPrime		Yes		eps
	---		-2		---		(null)		term		No		termPrime
	(null)		45		eps		(null)		expPrime		Yes		eps
	---		-2		---		(null)		expPrime		No		expPrime
	;		45		TK_SEM		(null)		assignmentStmt		Yes		TK_SEM
	---		-2		---		(null)		otherStmts		No		stmt
	---		-2		---		(null)		otherStmts		No		otherStmts
	(null)		46		eps		(null)		otherStmts		Yes		eps
	---		-2		---		(null)		otherStmts		No		otherStmts
	endwhile		41		TK_ENDWHILE		(null)		iterativeStmt		Yes		TK_ENDWHILE
	---		-2		---		(null)		otherStmts		No		stmt
	---		-2		---		(null)		otherStmts		No		otherStmts
	d4		47		TK_ID		(null)		singleOrRecId		Yes		TK_ID
	---		-2		---		(null)		assignmentStmt		No		singleOrRecId
	(null)		47		eps		(null)		option_single_constructed		Yes		eps
	---		-2		---		(null)		singleOrRecId		No		option_single_constructed
	---		-2		---		(null)		stmt		No		assignmentStmt
	<---		47		TK_ASSIGNOP		(null)		assignmentStmt		Yes		TK_ASSIGNOP
	b5c6		47		TK_ID		(null)		singleOrRecId		Yes		TK_ID
	---		-2		---		(null)		var		No		singleOrRecId
	(null)		47		eps		(null)		option_single_constructed		Yes		eps
	---		-2		---		(null)		singleOrRecId		No		option_single_constructed
	---		-2		---		(null)		factor		No		var
	---		-2		---		(null)		term		No		factor
	---		-2		---		(null)		arithmeticExpression		No		term
	/		47		TK_DIV		(null)		highPrecedenceOperators		Yes		TK_DIV
	---		-2		---		(null)		termPrime		No		highPrecedenceOperators
	---		-2		---		(null)		term		No		termPrime
	d5cb34567		47		TK_ID		(null)		singleOrRecId		Yes		TK_ID
	---		-2		---		(null)		var		No		singleOrRecId
	(null)		47		eps		(null)		option_single_constructed		Yes		eps
	---		-2		---		(null)		singleOrRecId		No		option_single_constructed
	---		-2		---		(null)		factor		No		var
	---		-2		---		(null)		termPrime		No		factor
	(null)		47		eps		(null)		termPrime		Yes		eps
	---		-2		---		(null)		termPrime		No		termPrime
	---		-2		---		(null)		assignmentStmt		No		arithmeticExpression
	(null)		47		eps		(null)		expPrime		Yes		eps
	---		-2		---		(null)		arithmeticExpression		No		expPrime
	;		47		TK_SEM		(null)		assignmentStmt		Yes		TK_SEM
	---		-2		---		(null)		otherStmts		No		stmt
	---		-2		---		(null)		otherStmts		No		otherStmts
	write		48		TK_WRITE		(null)		ioStmt		Yes		TK_WRITE
	---		-2		---		(null)		stmt		No		ioStmt
	(		48		TK_OP		(null)		ioStmt		Yes		TK_OP
	d4		48		TK_ID		(null)		singleOrRecId		Yes		TK_ID
	---		-2		---		(null)		var		No		singleOrRecId
	.		48		TK_DOT		(null)		oneExpansion		Yes		TK_DOT
	---		-2		---		(null)		option_single_constructed		No		oneExpansion
	maths		48		TK_FIELDID		(null)		oneExpansion		Yes		TK_FIELDID
	---		-2		---		(null)		singleOrRecId		No		option_single_constructed
	(null)		48		eps		(null)		moreExpansions		Yes		eps
	---		-2		---		(null)		option_single_constructed		No		moreExpansions
	---		-2		---		(null)		ioStmt		No		var
	)		48		TK_CL		(null)		ioStmt		Yes		TK_CL
	;		48		TK_SEM		(null)		ioStmt		Yes		TK_SEM
	---		-2		---		(null)		otherStmts		No		stmt
	---		-2		---		(null)		otherStmts		No		otherStmts
	write		49		TK_WRITE		(null)		ioStmt		Yes		TK_WRITE
	---		-2		---		(null)		stmt		No		ioStmt
	(		49		TK_OP		(null)		ioStmt		Yes		TK_OP
	d4		49		TK_ID		(null)		singleOrRecId		Yes		TK_ID
	---		-2		---		(null)		var		No		singleOrRecId
	.		49		TK_DOT		(null)		oneExpansion		Yes		TK_DOT
	---		-2		---		(null)		option_single_constructed		No		oneExpansion
	physics		49		TK_FIELDID		(null)		oneExpansion		Yes		TK_FIELDID
	---		-2		---		(null)		singleOrRecId		No		option_single_constructed
	(null)		49		eps		(null)		moreExpansions		Yes		eps
	---		-2		---		(null)		option_single_constructed		No		moreExpansions
	---		-2		---		(null)		ioStmt		No		var
	)		49		TK_CL		(null)		ioStmt		Yes		TK_CL
	;		49		TK_SEM		(null)		ioStmt		Yes		TK_SEM
	---		-2		---		(null)		otherStmts		No		stmt
	---		-2		---		(null)		otherStmts		No		otherStmts
	write		50		TK_WRITE		(null)		ioStmt		Yes		TK_WRITE
	---		-2		---		(null)		stmt		No		ioStmt
	(		50		TK_OP		(null)		ioStmt		Yes		TK_OP
	d4		50		TK_ID		(null)		singleOrRecId		Yes		TK_ID
	---		-2		---		(null)		var		No		singleOrRecId
	.		50		TK_DOT		(null)		oneExpansion		Yes		TK_DOT
	---		-2		---		(null)		option_single_constructed		No		oneExpansion
	chemistry		50		TK_FIELDID		(null)		oneExpansion		Yes		TK_FIELDID
	---		-2		---		(null)		singleOrRecId		No		option_single_constructed
	(null)		50		eps		(null)		moreExpansions		Yes		eps
	---		-2		---		(null)		option_single_constructed		No		moreExpansions
	---		-2		---		(null)		ioStmt		No		var
	)		50		TK_CL		(null)		ioStmt		Yes		TK_CL
	;		50		TK_SEM		(null)		ioStmt		Yes		TK_SEM
	---		-2		---		(null)		otherStmts		No		stmt
	---		-2		---		(null)		otherStmts		No		otherStmts
	(null)		51		eps		(null)		otherStmts		Yes		eps
	---		-2		---		(null)		otherStmts		No		otherStmts
	return		51		TK_RETURN		(null)		returnStmt		Yes		TK_RETURN
	---		-2		---		(null)		stmts		No		returnStmt
	(null)		51		eps		(null)		optionalReturn		Yes		eps
