	Lexeme		Line Number		Token Name		ValueIfNumber		ParentNodeSymbol		isLeafNode		NodeSymbol
	---		-2		---		(null)		otherStmts		No		otherStmts
	return		13		TK_RETURN		(null)		returnStmt		Yes		TK_RETURN
	---		-2		---		(null)		stmts		No		returnStmt
	[		13		TK_SQL		(null)		optionalReturn		Yes		TK_SQL
	---		-2		---		(null)		returnStmt		No		optionalReturn
	b3c45		13		TK_ID		(null)		idList		Yes		TK_ID
	---		-2		---		(null)		optionalReturn		No		idList
	(null)		13		eps		(null)		more_ids		Yes		eps
	---		-2		---		(null)		idList		No		more_ids
	]		13		TK_SQR		(null)		optionalReturn		Yes		TK_SQR
	;		13		TK_SEM		(null)		returnStmt		Yes		TK_SEM
	end		8		TK_END		(null)		function		Yes		TK_END
	---		-2		---		(null)		program		No		otherFunctions
	(null)		20		eps		(null)		otherFunctions		Yes		eps
	---		-2		---		(null)		otherFunctions		No		otherFunctions
	---		-1		---		(null)		ROOT		No		program
	_main		20		TK_MAIN		(null)		mainFunction		Yes		TK_MAIN
	---		-2		---		(null)		program		No		mainFunction
	record		21		TK_RECORD		(null)		typeDefinition		Yes		TK_RECORD
	---		-2		---		(null)		actualOrRedefined		No		typeDefinition
	#marks		21		TK_RUID		(null)		typeDefinition		Yes		TK_RUID
	type		22		TK_TYPE		(null)		fieldDefinition		Yes		TK_TYPE
	---		-2		---		(null)		fieldDefinitions		No		fieldDefinition
	real		22		TK_REAL		(null)		primitiveDatatype		Yes		TK_REAL
	---		-2		---		(null)		fieldType		No		primitiveDatatype
	---		-2		---		(null)		fieldDefinition		No		fieldType
	:		22		TK_COLON		(null)		fieldDefinition		Yes		TK_COLON
	maths		22		TK_FIELDID		(null)		fieldDefinition		Yes		TK_FIELDID
	;		22		TK_SEM		(null)		fieldDefinition		Yes		TK_SEM
	---		-2		---		(null)		typeDefinition		No		fieldDefinitions
	type		23		TK_TYPE		(null)		fieldDefinition		Yes		TK_TYPE
	---		-2		---		(null)		fieldDefinitions		No		fieldDefinition
	real		23		TK_REAL		(null)		primitiveDatatype		Yes		TK_REAL
	---		-2		---		(null)		fieldType		No		primitiveDatatype
	---		-2		---		(null)		fieldDefinition		No		fieldType
	:		23		TK_COLON		(null)		fieldDefinition		Yes		TK_COLON
	physics		23		TK_FIELDID		(null)		fieldDefinition		Yes		TK_FIELDID
	;		23		TK_SEM		(null)		fieldDefinition		Yes		TK_SEM
	type		24		TK_TYPE		(null)		fieldDefinition		Yes		TK_TYPE
	---		-2		---		(null)		moreFields		No		fieldDefinition
	real		24		TK_REAL		(null)		primitiveDatatype		Yes		TK_REAL
	---		-2		---		(null)		fieldType		No		primitiveDatatype
	---		-2		---		(null)		fieldDefinition		No		fieldType
	:		24		TK_COLON		(null)		fieldDefinition		Yes		TK_COLON
	chemistry		24		TK_FIELDID		(null)		fieldDefinition		Yes		TK_FIELDID
	;		24		TK_SEM		(null)		fieldDefinition		Yes		TK_SEM
	---		-2		---		(null)		fieldDefinitions		No		moreFields
	(null)		25		eps		(null)		moreFields		Yes		eps
	---		-2		---		(null)		moreFields		No		moreFields
	endrecord		21		TK_ENDRECORD		(null)		typeDefinition		Yes		TK_ENDRECORD
	---		-2		---		(null)		typeDefinitions		No		actualOrRedefined
	---		-2		---		(null)		stmts		No		typeDefinitions
	(null)		28		eps		(null)		typeDefinitions		Yes		eps
	---		-2		---		(null)		typeDefinitions		No		typeDefinitions
	---		-2		---		(null)		mainFunction		No		stmts
	type		28		TK_TYPE		(null)		declaration		Yes		TK_TYPE
	---		-2		---		(null)		declarations		No		declaration
	record		28		TK_RECORD		(null)		constructedDatatype		Yes		TK_RECORD
	---		-2		---		(null)		dataType		No		constructedDatatype
	#marks		28		TK_RUID		(null)		constructedDatatype		Yes		TK_RUID
	---		-2		---		(null)		declaration		No		dataType
	:		28		TK_COLON		(null)		declaration		Yes		TK_COLON
	d4		28		TK_ID		(null)		declaration		Yes		TK_ID
	(null)		28		eps		(null)		global_or_not		Yes		eps
	---		-2		---		(null)		declaration		No		global_or_not
	;		28		TK_SEM		(null)		declaration		Yes		TK_SEM
	---		-2		---		(null)		stmts		No		declarations
	type		31		TK_TYPE		(null)		declaration		Yes		TK_TYPE
	---		-2		---		(null)		declarations		No		declaration
	int		31		TK_INT		(null)		primitiveDatatype		Yes		TK_INT
	---		-2		---		(null)		dataType		No		primitiveDatatype
	---		-2		---		(null)		declaration		No		dataType
	:		31		TK_COLON		(null)		declaration		Yes		TK_COLON
	b5		31		TK_ID		(null)		declaration		Yes		TK_ID
	(null)		31		eps		(null)		global_or_not		Yes		eps
	---		-2		---		(null)		declaration		No		global_or_not
	;		31		TK_SEM		(null)		declaration		Yes		TK_SEM
	---		-2		---		(null)		declarations		No		declarations
	type		32		TK_TYPE		(null)		declaration		Yes		TK_TYPE
	---		-2		---		(null)		declarations		No		declaration
	int		32		TK_INT		(null)		primitiveDatatype		Yes		TK_INT
	---		-2		---		(null)		dataType		No		primitiveDatatype
	---		-2		---		(null)		declaration		No		dataType
	:		32		TK_COLON		(null)		declaration		Yes		TK_COLON
	d5cb34567		32		TK_ID		(null)		declaration		Yes		TK_ID
	(null)		32		eps		(null)		global_or_not		Yes		eps
	---		-2		---		(null)		declaration		No		global_or_not
	;		32		TK_SEM		(null)		declaration		Yes		TK_SEM
	---		-2		---		(null)		declarations		No		declarations
	type		33		TK_TYPE		(null)		declaration		Yes		TK_TYPE
	---		-2		---		(null)		declarations		No		declaration
	record		33		TK_RECORD		(null)		constructedDatatype		Yes		TK_RECORD
	---		-2		---		(null)		dataType		No		constructedDatatype
	#marks		33		TK_RUID		(null)		constructedDatatype		Yes		TK_RUID
	---		-2		---		(null)		declaration		No		dataType
	:		33		TK_COLON		(null)		declaration		Yes		TK_COLON
	b5c6		33		TK_ID		(null)		declaration		Yes		TK_ID
	(null)		33		eps		(null)		global_or_not		Yes		eps
	---		-2		---		(null)		declaration		No		global_or_not
